areaType,areaName,areaCode,date,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate
overview,United Kingdom,K02000001,2022-07-06,20055,149968871,2785,53639145,8932,50253743,8338,40047875
overview,United Kingdom,K02000001,2022-07-05,19664,149934557,3096,53636360,8453,50244811,8115,40039537
overview,United Kingdom,K02000001,2022-07-04,20334,149901038,3545,53633264,8578,50236358,8211,40031422
overview,United Kingdom,K02000001,2022-07-03,19259,149868716,3949,53629719,10635,50227780,4675,40023211
overview,United Kingdom,K02000001,2022-07-02,37398,149844630,8028,53625770,19954,50217145,9416,40018536
overview,United Kingdom,K02000001,2022-07-01,19919,149794315,3333,53617742,8018,50197191,8568,40009120
overview,United Kingdom,K02000001,2022-06-30,20255,149760288,3571,53614409,7854,50189173,8830,40000552
overview,United Kingdom,K02000001,2022-06-29,19183,149664930,3125,53610838,7039,50181319,9019,39991722
overview,United Kingdom,K02000001,2022-06-28,19305,149625788,3617,53607713,7204,50174280,8484,39982703
overview,United Kingdom,K02000001,2022-06-27,18777,149588027,2924,53604096,6870,50167076,8983,39974219
overview,United Kingdom,K02000001,2022-06-26,18562,149554065,5180,53601172,8024,50160206,5358,39965236
overview,United Kingdom,K02000001,2022-06-25,37595,149528186,11549,53595992,14611,50152182,11435,39959878
overview,United Kingdom,K02000001,2022-06-24,18548,149470315,4029,53584443,5821,50137571,8698,39948443
overview,United Kingdom,K02000001,2022-06-23,16439,149433668,3100,53580414,5088,50131750,8251,39939745
overview,United Kingdom,K02000001,2022-06-22,17082,149397250,3218,53577314,5252,50126662,8612,39931494
overview,United Kingdom,K02000001,2022-06-21,16428,149359041,3353,53574096,5111,50121410,7964,39922882
overview,United Kingdom,K02000001,2022-06-20,15091,149323461,2405,53570743,4997,50116299,7689,39914918
overview,United Kingdom,K02000001,2022-06-19,15748,149223290,4656,53568338,6633,50111302,4459,39907229
overview,United Kingdom,K02000001,2022-06-18,30798,149201470,9549,53563682,11765,50104669,9484,39902770
overview,United Kingdom,K02000001,2022-06-17,16151,149153226,3354,53554133,5076,50092904,7721,39893286
overview,United Kingdom,K02000001,2022-06-16,17123,149119037,3029,53550779,5177,50087828,8917,39885565
overview,United Kingdom,K02000001,2022-06-15,16792,149080378,3133,53547750,4978,50082651,8681,39876648
overview,United Kingdom,K02000001,2022-06-14,14140,149043966,2177,53544617,3530,50077673,8433,39867967
overview,United Kingdom,K02000001,2022-06-13,15477,149011553,2470,53542440,4283,50074143,8724,39859534
overview,United Kingdom,K02000001,2022-06-12,16934,148981299,5010,53539970,5808,50069860,6116,39850810
overview,United Kingdom,K02000001,2022-06-11,35575,148955243,11349,53534960,11928,50064052,12298,39844694
overview,United Kingdom,K02000001,2022-06-10,19354,148899102,3571,53523611,5645,50052124,10138,39832396
overview,United Kingdom,K02000001,2022-06-09,18893,148857231,3561,53520040,5212,50046479,10120,39822258
overview,United Kingdom,K02000001,2022-06-08,21044,148813872,4891,53516479,5960,50041267,10193,39812138
overview,United Kingdom,K02000001,2022-06-07,18005,148765227,3335,53511588,4831,50035307,9839,39801945
overview,United Kingdom,K02000001,2022-06-06,17769,148722699,2828,53508253,4844,50030476,10097,39792106
overview,United Kingdom,K02000001,2022-06-05,10199,148687238,2628,53505425,3306,50025632,4265,39782009
overview,United Kingdom,K02000001,2022-06-04,19675,148652500,5621,53502797,6472,50022326,7582,39777744
overview,United Kingdom,K02000001,2022-06-03,3834,148624868,1033,53497176,1177,50015854,1624,39770162
overview,United Kingdom,K02000001,2022-06-02,9246,148619153,2266,53496143,2390,50014677,4590,39768538
overview,United Kingdom,K02000001,2022-06-01,28747,148602903,6970,53493877,8628,50012287,13149,39763948
overview,United Kingdom,K02000001,2022-05-31,30048,148549749,7650,53486907,8775,50003659,13623,39750799
overview,United Kingdom,K02000001,2022-05-30,27680,148489319,6769,53479257,8051,49994884,12860,39737176
overview,United Kingdom,K02000001,2022-05-29,18082,148435348,6018,53472488,5496,49986833,6568,39724316
overview,United Kingdom,K02000001,2022-05-28,37018,148406012,12568,53466470,11504,49981337,12946,39717748
overview,United Kingdom,K02000001,2022-05-27,23950,148339935,5192,53453902,6356,49969833,12402,39704802
overview,United Kingdom,K02000001,2022-05-26,42218,148279251,3608,53448710,25392,49963477,13218,39692400
overview,United Kingdom,K02000001,2022-05-25,14234,148193463,386,53445102,3072,49938085,10776,39679182
overview,United Kingdom,K02000001,2022-05-24,22504,148136503,4746,53444716,4867,49935013,12891,39668406
overview,United Kingdom,K02000001,2022-05-23,20678,148071051,3323,53439970,4629,49930146,12726,39655515
overview,United Kingdom,K02000001,2022-05-22,17958,148014472,6519,53436647,4621,49925517,6818,39642789
overview,United Kingdom,K02000001,2022-05-21,42720,147982669,16176,53430128,11054,49920896,15490,39635971
overview,United Kingdom,K02000001,2022-05-20,28989,147891495,6503,53413952,6514,49909842,15972,39620481
overview,United Kingdom,K02000001,2022-05-19,35883,147818312,8931,53407449,8074,49903328,18878,39604509
overview,United Kingdom,K02000001,2022-05-18,28297,147734156,5365,53398518,5956,49895254,16976,39585631
overview,United Kingdom,K02000001,2022-05-17,28682,147655047,5431,53393153,5921,49889298,17330,39568655
overview,United Kingdom,K02000001,2022-05-16,25988,147577271,4774,53387722,5601,49883377,15613,39551325
